ID,lastName,firstName,email,phone,department,position,team
388,Patton,Simon,spatto6@netmail.org,312-899-1685,5,1,128
389,Nelson,Henry,hnelso3@netmail.org,312-670-5536,1,11,140
390,Rich,Irvin,irich8@netmail.org,630-909-1802,6,11,66
391,Davies,Hubert,hdavie6@netmail.org,773-714-4099,4,11,21
392,Hayes,Duane,dhayes11@netmail.org,312-748-3797,4,5,63
393,Foster,Blake,bfoste9@netmail.org,312-788-9610,10,15,127
394,Briggs,Rudy,rbrigg3@netmail.org,312-932-4757,9,1,79
395,Huff,Janine,jhuff12@netmail.org,312-720-1387,11,13,125
396,Steele,Eduardo,esteel5@netmail.org,312-721-4854,2,12,119
397,Lang,Jeannie,jlang7@netmail.org,773-931-3012,11,12,104
398,Graves,Salvatore,sgrave4@netmail.org,630-706-4885,7,6,140
399,Preston,Raymond,rprest10@netmail.org,312-870-8173,3,11,24
400,Webster,Hershel,hwebst10@netmail.org,312-926-3008,1,13,82
401,Rose,Roslyn,rrose2@netmail.org,773-669-3227,4,2,48
402,Avila,Annette,aavila9@netmail.org,773-594-8480,9,3,57
403,Herman,Junior,jherma2@netmail.org,312-942-1384,9,4,136
404,Poole,Christian,cpoole12@netmail.org,773-794-7943,2,13,146
405,Sullivan,Antione,asulli11@netmail.org,312-594-7175,10,11,62
406,Hubbard,Marlene,mhubba1@netmail.org,312-791-1419,8,3,31
407,Rasmussen,Kimberley,krasmu10@netmail.org,312-671-1918,4,1,115
408,Olson,Millie,molson6@netmail.org,312-726-5985,9,8,133
409,Woodward,Don,dwoodw6@netmail.org,312-832-4558,11,12,138
410,Glover,Cody,cglove3@netmail.org,312-835-6722,11,12,59
411,Potts,Barrett,bpotts3@netmail.org,312-574-8961,8,15,77
412,Krause,Francisco,fkraus12@netmail.org,773-638-4011,1,3,6
413,Knight,Petra,pknigh8@netmail.org,773-763-5168,11,11,102
414,Buchanan,Charlie,cbucha7@netmail.org,773-707-2222,6,1,93
415,Hamilton,Kendall,khamil11@netmail.org,312-915-1537,6,18,91
416,French,Barbra,bfrenc8@netmail.org,312-719-5753,3,12,59
417,Baker,Ramon,rbaker11@netmail.org,630-900-6657,8,14,91
418,McBride,Adan,amcbri10@netmail.org,630-937-8072,4,1,44
419,Wiggins,Rocky,rwiggi1@netmail.org,773-937-4654,3,3,71
420,Schroeder,Ervin,eschro9@netmail.org,773-950-2833,10,1,89
421,Santiago,Fabian,fsanti6@netmail.org,773-894-1918,8,11,7
422,Huerta,Lindsay,lhuert9@netmail.org,773-655-5714,5,3,77
423,Meadows,Derick,dmeado12@netmail.org,312-785-6533,8,6,78
424,Dorsey,Tracy,tdorse11@netmail.org,312-619-7866,2,14,48
425,Wilkinson,Darla,dwilki5@netmail.org,312-653-6225,8,4,110
426,Hernandez,Bruno,bherna4@netmail.org,773-594-8791,11,6,154
427,Carlson,Jami,jcarls10@netmail.org,773-578-1818,3,11,142
428,Griffin,Shane,sgriff8@netmail.org,312-818-9949,4,3,73
429,Blair,Monica,mblair12@netmail.org,312-739-7527,3,1,2
430,Clements,Elisabeth,ecleme11@netmail.org,773-944-8592,1,6,83
431,Bentley,Gloria,gbentl9@netmail.org,773-862-3260,11,4,82
432,Evans,Dale,devans4@netmail.org,312-705-4679,7,1,102
433,Bennett,Jamey,jbenne10@netmail.org,312-762-9822,4,6,81
434,Kirby,Bonnie,bkirby6@netmail.org,630-900-4770,10,11,80
435,Carter,Eloise,ecarte5@netmail.org,630-750-4778,1,11,126
436,Mullen,Marcelo,mmulle1@netmail.org,312-686-7156,9,10,133
437,Mata,Dwayne,dmata9@netmail.org,773-607-5991,9,8,105
438,Lester,Theodore,tleste4@netmail.org,312-821-8192,2,3,158
439,Dougherty,Jere,jdough10@netmail.org,773-919-9724,2,1,46
440,Mayer,Tad,tmayer1@netmail.org,312-650-2951,6,1,68
441,Ingram,Sandy,singra11@netmail.org,312-704-6229,11,13,90
442,Mercer,Anthony,amerce4@netmail.org,312-580-9566,7,12,68
443,Mason,Matt,mmason4@netmail.org,312-851-8874,2,1,51
444,Nixon,Bob,bnixon9@netmail.org,630-652-1513,3,5,25
445,Martin,Luke,lmarti12@netmail.org,312-798-1347,6,1,73
446,Skinner,Latoya,lskinn3@netmail.org,773-791-1815,4,3,144
447,Boyle,Adolfo,aboyle5@netmail.org,773-687-1798,3,2,2
448,Chaney,Damian,dchane10@netmail.org,312-585-6128,8,12,98
449,Goodwin,Lon,lgoodw5@netmail.org,773-648-3561,4,3,12
450,Guzman,Dallas,dguzma9@netmail.org,773-884-1013,11,5,123
451,Roy,Cecile,croy3@netmail.org,773-633-7157,5,14,4
452,Douglas,Susanne,sdougl4@netmail.org,773-688-2943,10,13,128
453,Hancock,Clair,chanco7@netmail.org,773-913-6336,9,1,95
454,Park,Leon,lpark9@netmail.org,312-865-2173,6,1,125
455,Sweeney,Elvira,esween11@netmail.org,773-857-8923,2,6,146
456,Mann,Adrienne,amann12@netmail.org,312-851-6749,11,13,120
457,Scott,Elden,escott5@netmail.org,773-660-5530,10,12,71
458,Bryant,Jess,jbryan10@netmail.org,312-638-9546,10,3,131
459,Bray,Michal,mbray8@netmail.org,630-705-7373,5,2,46
460,Donaldson,Vickie,vdonal12@netmail.org,312-714-1796,11,2,41
461,Franco,Nadia,nfranc2@netmail.org,773-575-8463,11,1,47
462,McKnight,Candy,cmckni7@netmail.org,312-629-9446,10,3,129
463,Kidd,Rosanne,rkidd8@netmail.org,630-926-9834,2,16,36
464,Cannon,Jerri,jcanno8@netmail.org,773-786-5334,9,1,116
465,Pope,Otis,opope11@netmail.org,773-868-3090,4,14,108
466,Ramirez,Lawanda,lramir1@netmail.org,630-758-7419,11,12,62
467,Werner,Nanette,nwerne12@netmail.org,773-598-9065,3,2,40
468,Beck,Anne,abeck7@netmail.org,312-892-5950,4,2,34
469,Moses,Juliet,jmoses9@netmail.org,630-947-9850,9,3,119
470,Spencer,Joni,jspenc10@netmail.org,312-924-8633,5,11,43
471,Barnes,Sonja,sbarne4@netmail.org,312-621-8388,7,1,97
472,Gonzales,Reyes,rgonza5@netmail.org,630-943-2501,9,3,68
473,Kane,Myles,mkane6@netmail.org,312-916-1725,10,2,148
474,Conway,Kieth,kconwa4@netmail.org,630-571-3992,4,11,49
475,Sharp,Jolene,jsharp12@netmail.org,773-579-6906,3,11,70
476,Moyer,Nickolas,nmoyer2@netmail.org,630-780-4456,10,2,142
477,Wilson,Janice,jwilso3@netmail.org,312-623-4526,11,3,156
478,Chung,Shawna,schung3@netmail.org,312-835-9430,11,3,49
479,Dudley,Kenya,kdudle10@netmail.org,312-878-9663,10,18,147
480,Boone,Amy,aboone7@netmail.org,630-928-1164,3,2,29
481,Edwards,Gus,gedwar3@netmail.org,773-921-7241,4,2,61
482,Cisneros,Leta,lcisne4@netmail.org,312-876-8015,9,3,90
483,Osborne,Rayford,rosbor3@netmail.org,312-820-1285,2,14,2
484,Sandoval,Brent,bsando11@netmail.org,630-755-2753,11,6,137
485,Shaffer,Rene,rshaff9@netmail.org,630-933-4056,11,5,74
486,Brewer,Russell,rbrewe10@netmail.org,312-816-5659,9,11,70
487,Juarez,Alisa,ajuare1@netmail.org,312-849-1677,3,12,32
488,McKenzie,Belinda,bmcken5@netmail.org,773-940-9341,10,18,106
489,Solomon,Carla,csolom1@netmail.org,773-811-3076,10,1,116
490,Ayers,Dionne,dayers5@netmail.org,312-847-4836,9,11,84
491,Tucker,Diann,dtucke3@netmail.org,773-857-1153,3,11,68
492,Patrick,Xavier,xpatri11@netmail.org,312-863-2061,3,3,140
493,Pineda,Brittany,bpined1@netmail.org,312-883-1210,11,1,137
494,Peck,Georgette,gpeck12@netmail.org,312-936-7742,4,2,57
495,Frank,Casey,cfrank1@netmail.org,312-940-7172,10,11,106
496,McGee,Nannie,nmcgee4@netmail.org,773-770-7841,3,3,55
497,Bridges,Luther,lbridg2@netmail.org,312-633-2787,2,13,87
498,Fitzgerald,Elwood,efitzg5@netmail.org,630-863-7244,1,7,25
499,Fernandez,Delia,dferna1@netmail.org,773-933-2455,9,4,45
500,Patel,Amado,apatel9@netmail.org,773-726-7000,9,4,144
